cid,Probability of nongelator,Probability of gelator
6419781,0.5367235002073016,0.4632764997926984
45039587,0.5367235002073016,0.4632764997926984
25880707,0.5367235002073016,0.4632764997926984
86592810,0.5367267328688038,0.4632732671311962
135743935,0.5367328555964015,0.46326714440359845
500918,0.536740964992206,0.463259035007794
46242340,0.5368889810035955,0.46311101899640444
121486870,0.5368980830215974,0.46310191697840264
101075208,0.5369843901713762,0.4630156098286237
3009937,0.5370218200172725,0.46297817998272744
92233562,0.537126091123365,0.46287390887663504
506490,0.5371723849928876,0.4628276150071124
71762520,0.5372209202428215,0.46277907975717847
460467,0.5372433572294275,0.46275664277057244
92249436,0.5374223204483775,0.4625776795516226
15613706,0.5374223204483775,0.4625776795516226
481083,0.5374542828194335,0.46254571718056653
481081,0.5374542828194335,0.46254571718056653
453494,0.5375043664463119,0.46249563355368806
121487532,0.537522542010073,0.462477457989927
512717,0.537547998286835,0.462452001713165
10377507,0.5375611592487665,0.46243884075123354
119184,0.5375611592487665,0.46243884075123354
54526893,0.5376212715588008,0.4623787284411992
5487206,0.5376355392447749,0.462364460755225
642679,0.5377361366378426,0.4622638633621574
25182694,0.5377491523187132,0.46225084768128677
10849624,0.5377520570115626,0.4622479429884374
510948,0.5378290024146786,0.4621709975853214
5272210,0.5378670373340362,0.4621329626659639
22895138,0.5379139466770789,0.4620860533229211
122111,0.5379441330737633,0.4620558669262367
44283116,0.5379441330737633,0.4620558669262367
145986,0.5379441330737633,0.4620558669262367
301046,0.5379629093051281,0.46203709069487187
512720,0.5380036858467004,0.46199631415329956
50989162,0.5380036858467004,0.46199631415329956
131885796,0.538050437787245,0.4619495622127549
138059437,0.538057882756285,0.4619421172437151
15374279,0.5380718411078084,0.46192815889219163
135431813,0.5382903495544283,0.46170965044557166
11601597,0.5382968290239091,0.4617031709760909
11121872,0.5383337338097185,0.46166626619028156
22086283,0.5383726259313562,0.46162737406864385
13871395,0.5384759236697415,0.4615240763302585
121486894,0.5385039339243906,0.46149606607560945
