cid,Iso_smiles,Type,Canonical_smiles
15374279,CCS[C@@H]1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,Cytidine,CCS[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O
15403854,CC(=O)[C@@]1(C[C@@H]([C@H](O1)CO)O)N2C=CC(=O)NC2=O,Cytidine,CC(=O)[C@]1(n2ccc(=O)[nH]c2=O)C[C@H](O)[C@@H](CO)O1
15609252,CC(=O)O[C@@H]1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,Cytidine,CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O
15659047,C1[C@@H]([C@H](O[C@H]1C2=CC=CNC2=O)CO)O,Cytidine,O=c1[nH]cccc1[C@H]1C[C@H](O)[C@@H](CO)O1
15673565,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=C=O,Cytidine,Cc1cn([C@H]2C[C@H](N=C=O)[C@@H](CO)O2)c(=O)[nH]c1=O
15693249,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)CN)CO)O,Cytidine,NCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
15934098,C1=CC2=NN(N=C2C=C1)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Cytidine,OC[C@H]1O[C@@H](n2nc3ccccc3n2)[C@H](O)[C@@H]1O
15954533,C1CC1C2=CN(C(=O)NC2=O)[C@H]3C[C@@H]([C@H](O3)CO)O,Cytidine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C1CC1
15956150,CN(C)C1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,Cytidine,CN(C)c1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
16057990,CC1=CN(C(=O)N=C1N)[C@H]2[C@@H](C[C@H](O2)CO)F,Cytidine,Cc1cn([C@@H]2O[C@H](CO)C[C@H]2F)c(=O)nc1N
18345944,CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)OCCOC,Cytidine,COCCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(C)c(N)nc1=O
18650247,C[C@]1([C@H](C[C@@H](O1)N2C=CC(=O)NC2=O)O)CO,Cytidine,C[C@]1(CO)O[C@@H](n2ccc(=O)[nH]c2=O)C[C@@H]1O
20847520,CN1C(C=CN(C1=O)[C@H]2C[C@@H]([C@H](O2)CO)O)N,Cytidine,CN1C(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=CC1N
21136976,CC#CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)nc1N
21595512,C1=C(C(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)N,Cytidine,Nc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)nc1N
21786077,COC1=NC(=O)C=CN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,COc1nc(=O)ccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
21824453,COC1=CN(C(=O)NC1=S)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,COc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=S
21828013,C1=NN(C(=N1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,NC(=O)c1ncnn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
22211279,C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)O,Cytidine,O=c1cc(O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
22796909,C1CNC(=O)N(C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,O=C1NCCCN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
23238948,CC[C@]1([C@H](O[C@H]([C@@H]1O)N2C=CC(=O)NC2=O)CO)O,Cytidine,CC[C@@]1(O)[C@@H](CO)O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H]1O
24820365,CCO[C@]1([C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O)O,Cytidine,CCO[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O
24820718,CCO[C@]1([C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O)O,Cytidine,CCO[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O
42601468,C[C@H]1[C@@H]([C@](O[C@H]1N2C=CC(=NC2=O)N)(CO)N=[N+]=[N-])O,Cytidine,C[C@H]1[C@H](O)[C@](CO)(N=[N+]=[N-])O[C@H]1n1ccc(N)nc1=O
44159563,C([C@@H]1[C@H]([C@H](C(O1)NC(=O)N)O)O)O,Cytidine,NC(=O)NC1O[C@H](CO)[C@@H](O)[C@H]1O
51360252,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CN)O)O,Cytidine,NC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
53655871,C=CCC1=C(NC(=O)N(C1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,Cytidine,C=CCc1c(N)[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1=O
53781503,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=NC2=O)N)C#C)O)O,Cytidine,C#Cc1cn([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)c(=O)nc1N
54112622,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](S2)CO)O)F,Cytidine,Nc1ccn([C@@H]2S[C@H](CO)[C@@H](O)[C@H]2F)c(=O)n1
54194934,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)C=O)CO)F,Cytidine,Nc1nc(=O)n([C@H]2C[C@H](F)[C@@H](CO)O2)cc1C=O
54515638,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=NC2=O)N)I)O)O,Cytidine,C[C@H]1O[C@@H](n2cc(I)c(N)nc2=O)[C@H](O)[C@@H]1O
56608890,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C#CCF)CO)O,Cytidine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C#CCF
59628308,CO[C@@H]1[C@@H]([C@H](S[C@H]1N2C=CC(=O)NC2=O)CO)O,Cytidine,CO[C@@H]1[C@H](O)[C@@H](CO)S[C@H]1n1ccc(=O)[nH]c1=O
67175601,C[C@]1([C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O)O,Cytidine,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cc(F)c(=O)[nH]c1=O
