,Statistics,Pvalues,Difference_mean,Log_P
VE1_B(e),-0.4150286783196448,0.6781209092299321,0.9874478269088016,0.3884296747434977
VE2_B(e),-0.9107573774236649,0.36242322469393307,1.0563445726060932,1.014942621066684
VE3_B(e),-0.3343286575352694,0.7381315677746794,0.990906816391148,0.3036331941535115
VE1sign_B(e),-1.4410717997209888,0.14956439950780542,1.0520087481339007,1.9000282129659094
VE2sign_B(e),-0.5764287198883955,0.5643254366837849,1.0985841547172235,0.5721241784966697
VE3sign_B(e),-0.43808582711518057,0.6613240680116785,0.9403176422269602,0.41351128996655656
VR1_B(e),-0.1037571695799112,0.9173620566705083,1.058651916233629,0.0862530573097723
VR2_B(e),-1.8561004780406336,0.06343923763475535,1.004411901103548,2.757672718834381
VR3_B(e),0.03458572319330373,0.9724100859310765,1.0198221383301258,0.027977664390055463
Wi_B(p),0.05764287198883955,0.9540330995169046,1.0628754881013485,0.047056912625343617
WiA_B(p),-0.4957286991040202,0.62008583601304,1.075049995131135,0.47789736534332705
AVS_B(p),-1.521771820505364,0.12806626461954115,1.003889606789563,2.0552074566788043
Chi_B(p),0.1037571695799112,0.9173620566705083,1.004472913506933,0.0862530573097723
ChiA_B(p),1.3834289277321492,0.1665333857311705,0.9939283292949135,1.7925594747601397
J_B(p),0.8070002078437537,0.41966636340556585,0.7069069614446989,0.8682952562299117
HyWi_B(p),-0.01152857439776791,0.9908017322343429,1.020021316711985,0.009240833049584334
SpAbs_B(p),0.0,1.0,1.068835730800295,-0.0
SpPos_B(p),0.12681431837544702,0.8990873628120055,1.0575875052717387,0.10637507146555679
SpPosA_B(p),-1.26814318375447,0.20474682244261933,1.0056355495846014,1.585981075575149
SpPosLog_B(p),0.2651572111486619,0.7908883559462445,1.0188660770775562,0.23459846410118493
SpMax_B(p),1.0145145470035761,0.31033729164377166,0.9894359926238325,1.170095535426259
SpMaxA_B(p),-0.03458572319330373,0.9724100859310765,1.063511013107247,0.027977664390055463
SpDiam_B(p),0.8531145054348254,0.3935958081601312,0.990216972359229,0.9324307638604171
SpAD_B(p),-0.12681431837544702,0.8990873628120055,1.056536215054774,0.10637507146555679
SpMAD_B(p),-1.9944433708138485,0.04610362279259945,1.008244358039078,3.07686374654445
Ho_B(p),0.01152857439776791,0.9908017322343429,1.069227381681525,0.009240833049584334
EE_B(p),-0.17292861596651865,0.8627075382114653,1.0266008251539367,0.14767953500864384
SM1_B(p),0.35162151913192125,0.7251221246333034,1.0204234502672045,0.32141519054312123
SM2_B(p),-0.12681431837544702,0.8990873628120055,1.0198958268707543,0.10637507146555679
SM3_B(p),-0.18445719036428657,0.8536548079975348,1.0304864345712788,0.15822837299874926
SM4_B(p),-0.21904291355759029,0.826616619185554,1.0270663679491054,0.19041427163171545
SM5_B(p),-0.3112715087397336,0.7555942248898722,1.0225862289104017,0.28025078646250856
SM6_B(p),-0.6110144430816993,0.5411900186758699,1.007662893595534,0.61398482580482
VE1_B(p),0.5072572735017881,0.6119743135399909,1.0005061272107725,0.49106496869051647
VE2_B(p),-0.18445719036428657,0.8536548079975348,0.9647621939840968,0.15822837299874926
VE3_B(p),0.05764287198883955,0.9540330995169046,0.9554373948581273,0.047056912625343617
VE1sign_B(p),-2.559343516304476,0.010487005735214893,1.1692919316186368,4.557618337241977
VE2sign_B(p),-1.164386014174559,0.24426761283046516,1.1152288063669522,1.4094908808106619
VE3sign_B(p),-1.1067431421857195,0.26840499703722065,0.9246647054005229,1.3152582561845205
VR1_B(p),-0.1152857439776791,0.9082186376756121,1.058604325797514,0.09627013897455404
VR2_B(p),-1.8676290524384016,0.06181379399394172,1.0045560422930064,2.783628735639286
VR3_B(p),0.06917144638660747,0.944853151135727,1.0198078989983346,0.056725759187114505
Wi_B(i),0.02305714879553582,0.9816046868975358,1.031944887149005,0.018566610843843666
WiA_B(i),-0.3343286575352694,0.7381315677746794,1.0443330234256218,0.3036331941535115
AVS_B(i),-1.4526003741187568,0.14633474213666856,1.0112365076045582,1.921858527263774
Chi_B(i),0.02305714879553582,0.9816046868975358,1.019468475979934,0.018566610843843666
ChiA_B(i),1.2220288861633986,0.22169670353824067,0.9890228526450346,1.5064450314905307
J_B(i),0.8185287822415216,0.413055314081041,0.7201331007573213,0.8841737625896323
HyWi_B(i),0.01152857439776791,0.9908017322343429,1.005904358935592,0.009240833049584334
SpAbs_B(i),0.1037571695799112,0.9173620566705083,1.0334225429452835,0.0862530573097723
SpPos_B(i),0.12681431837544702,0.8990873628120055,1.0123839390803147,0.10637507146555679
SpPosA_B(i),-0.5994858686839314,0.5488489307467032,1.0030295904616304,0.5999320470210597
SpPosLog_B(i),0.21904291355759029,0.826616619185554,1.0054562725711695,0.19041427163171545
SpMax_B(i),0.8415859310370575,0.40001976702511455,0.9828770094724985,0.9162413155323762
SpMaxA_B(i),-0.08070002078437537,0.9356805202884368,1.0557667410100866,0.06648118524716891
