ID,ALOGP,MLOGP,LOGP99,LOGPcons,ESOL,Hy,TPSA(NO),TPSA(Tot),Probability of gelator
136250551,-2.8125,-0.318412644180832,-2.04469997435808,-1.72520420617964,-0.69784828091133,3.76691722101609,195.04,204.85,Top 10%
159338,-1.7863,-0.788774013497326,-1.48939987272024,-1.35482462873919,-0.475251707655002,1.3605693660668,104.55,104.55,Top 10%
119051,-1.9199,-0.986758874553706,-1.46329986304045,-1.45665291253138,-0.276822878703218,1.30308371403265,113.78,113.78,Top 10%
5271958,-2.8391,-1.72576689259077,-2.75649982690811,-2.44045557316629,0.309936167777408,3.01538269577859,145.01,145.01,Top 10%
72628785,-1.4116,-0.969162618846852,-1.39109992980957,-1.25728751621881,-0.441242463744147,2.23574707540732,104.89,104.89,Top 10%
9859640,-1.4116,-0.969162618846852,-1.39109992980957,-1.25728751621881,-0.441242463744147,2.23574707540732,104.89,104.89,Top 10%
136190395,-2.2685,-0.516956749867636,-2.58869992941618,-1.79138555976127,-0.380901278668534,3.9169541365899,151.31,151.31,Top 10%
68655403,-3.8818,-1.43694564240263,-2.78859991580248,-2.7024485194017,0.201939272464782,4.83063200503034,197.59,207.4,Top 10%
150623,-1.7885,-0.274296887235266,-1.11889994889498,-1.06056561204341,-0.72552746524187,1.29651969279551,133.48,133.48,Top 10%
23399682,0.0607000000000006,0.487628995789545,-0.45029985695146,0.032676379612695,-1.64271740745121,1.1558125419296,104.55,104.55,Top 10%
352713,-1.1212,-1.16437043706535,-1.68299987912178,-1.32285677206238,-0.50555740018871,1.35481412864805,108.33,108.33,Top 10%
131874082,-1.1212,-1.16437043706535,-1.68299987912178,-1.32285677206238,-0.50555740018871,1.35481412864805,108.33,108.33,Top 10%
3007771,-1.3478,-0.528083430154121,-1.1547998690512,-1.01022776640177,-0.746581930117168,1.25069414495336,113.78,113.78,Top 10%
2735432,,-1.40889090431261,-0.504199869930744,-0.956545387121677,-0.615717501337555,0.647019614359211,127.4,127.4,Top 10%
135438476,,-0.793367431445885,-1.49779994785786,-1.14558368965187,-0.896719464836146,3.003031729797,188.04,188.04,Top 10%
91668447,-0.6074,-1.14498528922198,-1.5650998800993,-1.10582838977376,-1.30357509749701,1.35481412864805,108.33,108.33,Top 10%
515215,-1.1017,-0.610176446395793,-0.359499871730804,-0.690458772708865,-1.1327044688829,1.20271492555157,117.69,117.69,Top 10%
493224,-1.845,-1.10059009935684,-1.58611987147015,-1.51056999027566,-0.32510442674869,1.3605693660668,128.34,128.34,Top 10%
7059457,-0.7815,-0.238429534975858,-0.699699863791466,-0.573209799589108,-0.893932399085158,1.30603394865514,104.55,104.55,Top 10%
66377,-0.7815,-0.238429534975858,-0.699699863791466,-0.573209799589108,-0.893932399085158,1.30603394865514,104.55,104.55,Top 10%
1814,-0.7815,-0.238429534975858,-0.699699863791466,-0.573209799589108,-0.893932399085158,1.30603394865514,104.55,104.55,Top 10%
12922945,-0.7815,-0.238429534975858,-0.699699863791466,-0.573209799589108,-0.893932399085158,1.30603394865514,104.55,104.55,Top 10%
2783891,-0.7815,-0.238429534975858,-0.699699863791466,-0.573209799589108,-0.893932399085158,1.30603394865514,104.55,104.55,Top 10%
133125648,-2.2058,-0.516956749867636,-3.47689987719059,-2.06655220901941,-0.369529909797673,2.98592239390585,153.59,153.59,Top 10%
6474236,-2.2058,-0.516956749867636,-3.47689987719059,-2.06655220901941,-0.369529909797673,2.98592239390585,153.59,153.59,Top 10%
515211,-0.1066,0.669721543911231,0.417420163750649,0.326847235887293,-2.01512652716033,1.15858023215393,104.55,132.79,Top 10%
452513,-0.905,-0.205139238419641,-0.608919899794273,-0.573019712737971,-0.987704319359848,0.592484196947549,108.11,108.11,Top 10%
122622,,-0.975505569272216,-0.119399860501289,-0.547452714886753,-0.977747815868593,0.60009523877155,133.08,133.08,Top 10%
23531406,-2.9634,0.0181136879761228,-1.48679998517036,-1.47736209906475,-0.998472241710603,2.82369328331576,189.15,198.96,Top 10%
13711969,,-0.279378538910894,0.408900126814842,0.0647607939519742,-1.37068399100267,-0.0567602940628378,139.15,139.15,Top 10%
137699423,-1.4277,-1.05295674986764,-2.74492985010147,-1.7418621999897,-0.329007633207146,2.10882051262456,139.83,139.83,Top 10%
94312,-2.3508,-2.02087729346509,-2.63269985467196,-2.33479238271235,0.288845913602371,2.29340734281707,119.33,119.33,Top 10%
77520540,-2.3508,-2.02087729346509,-2.63269985467196,-2.33479238271235,0.288845913602371,2.29340734281707,119.33,119.33,Top 10%
124304833,-2.3508,-2.02087729346509,-2.63269985467196,-2.33479238271235,0.288845913602371,2.29340734281707,119.33,119.33,Top 10%
156588711,-2.3508,-2.02087729346509,-2.63269985467196,-2.33479238271235,0.253031913602371,2.29340734281707,119.33,119.33,Top 10%
373406,-0.9799,-0.0966868528197262,-0.486099891364574,-0.520895581394767,-0.938178466512031,0.548364824156142,93.55,93.55,Top 10%
53965369,-3.1455,-2.17745617125508,-3.60499981790781,-2.97598532972096,0.51753381882635,2.88920052621371,171.31,171.31,Top 10%
146066,-3.1455,-2.17745617125508,-3.60499981790781,-2.97598532972096,0.51753381882635,2.88920052621371,171.31,171.31,Top 10%
16133029,-1.4806,-1.19936743144589,-1.7035999968648,-1.46118914277023,-0.795505169700071,2.97499255035967,182.65,182.65,Top 10%
86306492,-3.5636,-1.82582649119558,-3.10099981725216,-2.83014210281591,0.632738619354244,3.28969861202037,139.52,139.52,Top 10%
131877226,-1.9522,-0.894330201626768,-1.8619999405928,-1.56951004740652,-0.492860027099874,2.15572289624653,153.71,162.09,Top 10%
454139,-1.0202,-0.159280869897071,-0.690299920737743,-0.623260263544938,-0.913297377099813,0.695608978048113,93.55,93.55,Top 10%
454138,-1.0202,-0.159280869897071,-0.690299920737743,-0.623260263544938,-0.913297377099813,0.695608978048113,93.55,93.55,Top 10%
10015599,-0.1191,0.55399630847727,0.270400062203407,0.235098790226892,-1.59299856041746,-0.0252108578710494,81.16,81.16,Top 10%
451833,-1.1597,-0.723091448191184,-0.98089986294508,-0.954563770378754,-0.693332743357144,1.24961730917354,130.85,130.85,Top 10%
135408506,-2.3213,-1.02334817549819,-3.42079996317625,-2.25514937955815,-0.0912963305866445,4.05915365004828,172.4,172.4,Top 10%
135763231,-2.3213,-1.02334817549819,-3.42079996317625,-2.25514937955815,-0.0912963305866445,4.05915365004828,172.4,172.4,Top 10%
6483689,-2.3279,-1.32895674986764,-2.77189985662699,-2.14291886883154,-0.0552143050309093,4.8392275438165,154.63,186.72,Top 10%
10589260,-1.296,-0.705718205231806,-1.48289983719587,-1.16153934747589,-0.66581169285173,2.07555209243892,124.78,124.78,Top 10%
54444717,-2.7156,-1.45391608054574,-2.57579983770847,-2.24843863941807,0.108616415756142,2.04885716363551,151.08,151.08,Top 10%
121487889,-0.370199999999999,-0.338489133580669,-0.655299887061119,-0.454663006880596,-1.01020387322487,1.49438745077486,108.21,133.51,Top 10%
398256,,-0.569505569272216,0.0857001394033432,-0.241902714934436,-1.1897995158355,0.60009523877155,133.08,133.08,Top 10%
102063598,-2.789,-2.23182649119558,-3.3366998359561,-2.78584210905056,0.608054423681088,3.28969861202037,148.53,148.53,Top 10%
145711906,-1.9922,-1.0859906107645,-1.83159986138344,-1.63659682404931,-0.195521804109777,2.29340734281707,115.41,115.41,Top 10%
135398692,-1.445,-0.782404292455295,-1.39989989995956,-1.20910139747162,-0.776458175609241,2.09366730201316,159.79,159.79,Top 10%
125478223,-0.398900000000001,-0.12338141731989,-0.659399874508381,-0.393893763942757,-1.21019772782373,1.29989286716403,121.62,121.62,Top 10%
54424807,-2.9727,-0.972496840576981,-3.59359987080097,-2.51293223712598,0.0101149725654339,3.87595201707399,168.62,168.62,Top 10%
148264,-1.9119,-1.20523289247159,-1.62009985744953,-1.57907758330704,-0.203680157184914,2.19326932363356,134.01,134.01,Top 10%
5273980,-0.9688,-0.174758874553706,-1.22759986668825,-0.790386247080653,-0.821211944526026,1.30308371403265,117.44,117.44,Top 10%
171185,-0.876799999999999,-0.460440446058232,-1.23067996650934,-0.855973470855858,-1.43336441122603,1.16231147225869,127.04,127.04,Top 10%
92266931,-0.876799999999999,-0.460440446058232,-1.23067996650934,-0.855973470855858,-1.43336441122603,1.16231147225869,127.04,127.04,Top 10%
3010090,-2.0946,-0.72201786367784,-1.32359988242388,-1.38007258203391,-0.00148962806846864,1.49438745077486,104.55,104.55,Top 10%
3036202,-1.6855,0.0403068066982784,-0.900799915194511,-0.848664369498745,-1.11864692756787,2.20262527986851,134.01,175.91,Top 10%
135517354,-2.2723,-0.15773157292159,-1.68799992650747,-1.37267716647635,-0.979367046465409,2.94852874461785,180.02,189.83,Top 10%
14530807,-2.1615,-0.594389435356953,-1.64109987020493,-1.46566310185396,-0.462389807313351,1.29651969279551,130.85,130.85,Top 10%
53901126,-1.1248,-0.238429534975858,-0.870899893343449,-0.744709809439769,-0.9973713922488,1.3605693660668,104.55,104.55,Top 10%
451842,,0.131703112764734,0.770600102841854,0.451151607803294,-1.99459921581549,0.617247114515643,133.08,133.08,Top 10%
16226669,-2.4314,-1.82582649119558,-3.03699985146523,-2.43140878088693,0.362077693935533,2.35106761022682,137.67,137.67,Top 10%
7035901,-2.4314,-1.82582649119558,-3.03699985146523,-2.43140878088693,0.362077693935533,2.35106761022682,137.67,137.67,Top 10%
25796514,-2.4314,-1.82582649119558,-3.03699985146523,-2.43140878088693,0.362077693935533,2.35106761022682,137.67,137.67,Top 10%
12358445,-2.4314,-1.82582649119558,-3.03699985146523,-2.43140878088693,0.362077693935533,2.35106761022682,137.67,137.67,Top 10%
59116124,-2.4314,-1.82582649119558,-3.03699985146523,-2.43140878088693,0.362077693935533,2.35106761022682,137.67,137.67,Top 10%
5901,-2.4314,-1.82582649119558,-3.03699985146523,-2.43140878088693,0.362077693935533,2.35106761022682,137.67,137.67,Top 10%
451480,-0.375400000000001,0.644361533399585,0.063800074160099,0.110920535853228,-1.51893885188214,0.64128866067453,84.32,84.32,Top 10%
60708,-0.375400000000001,0.644361533399585,0.063800074160099,0.110920535853228,-1.51893885188214,0.64128866067453,84.32,84.32,Top 10%
121487302,-0.375400000000001,0.644361533399585,0.063800074160099,0.110920535853228,-1.52496285188214,0.64128866067453,84.32,84.32,Top 10%
136088499,-2.7003,-0.808422749748454,-2.84940001368523,-2.11937425447789,-0.173704267392341,5.00221668956921,165.3,165.3,Top 10%
135462125,-2.7003,-0.808422749748454,-2.84940001368523,-2.11937425447789,-0.173704267392341,5.00221668956921,165.3,165.3,Top 10%
135602246,-2.7003,-0.808422749748454,-2.84940001368523,-2.11937425447789,-0.173704267392341,5.00221668956921,165.3,165.3,Top 10%
135491415,-2.7003,-0.808422749748454,-2.84940001368523,-2.11937425447789,-0.173704267392341,5.00221668956921,165.3,165.3,Top 10%
135405922,-2.3219,-1.11685309428094,-2.58239996107295,-2.0070510184513,-0.617711593194799,4.78047503815375,188.97,230.87,Top 10%
10425238,-2.313,-1.38150556927222,-2.45679986895993,-2.05043514607738,-0.168978008622295,1.3490915893747,138.69,147.07,Top 10%
135438607,-2.0074,-0.756330201626768,-2.0098999068141,-1.59121003614696,-0.539890234914013,2.17394953686026,150.56,150.56,Top 10%
135452524,-2.0074,-0.756330201626768,-2.0098999068141,-1.59121003614696,-0.539890234914013,2.17394953686026,150.56,150.56,Top 10%
131882935,-1.9851,-1.0275981173939,-1.64969985187054,-1.55413265642148,-0.302991936443493,2.19326932363356,137.14,137.14,Top 10%
76844933,-0.9483,-0.822041097487501,-1.40949987620115,-1.05994699122955,-0.692016788086691,1.3605693660668,99.1,99.1,Top 10%
91668392,-0.9483,-0.822041097487501,-1.40949987620115,-1.05994699122955,-0.692016788086691,1.3605693660668,99.1,99.1,Top 10%
155982232,-0.9483,-0.822041097487501,-1.40949987620115,-1.05994699122955,-0.692016788086691,1.3605693660668,99.1,99.1,Top 10%
77174437,-0.9483,-0.822041097487501,-1.40949987620115,-1.05994699122955,-0.692016788086691,1.3605693660668,99.1,99.1,Top 10%
134715536,-0.492100000000001,-0.535953936809902,-1.01939987391233,-0.682484603574079,-0.938155685119588,1.30308371403265,99.1,99.1,Top 10%
21121800,-2.1532,-0.935895534856676,-1.43739986419678,-1.50883179968448,-0.260430731018967,1.36633043352894,104.55,104.55,Top 10%
13845302,-2.4481,-1.92125562737651,-3.05309987487271,-2.47415183408307,0.123141372853654,1.39032446003945,160.81,169.19,Top 10%
9814370,-0.858599999999998,0.0159165698458787,-0.518999874591827,-0.453894434915316,-1.04479726216877,0.508260471288382,110.62,110.62,Top 10%
92268298,-2.685,-1.00298295057588,-2.1404999345541,-1.94282762837666,-0.135177625906598,3.11378014019992,176.65,176.65,Top 10%
10730026,-1.3658,-0.114774013497326,-0.5285998955369,-0.669724636344742,-0.850711102376749,0.592484196947549,93.55,93.55,Top 10%
3246700,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.23924701521502,0.60009523877155,133.08,133.08,Top 10%
5726,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.23924701521502,0.60009523877155,133.08,133.08,Top 10%
455007,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.23924701521502,0.60009523877155,133.08,133.08,Top 10%
49849901,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.26327701521502,0.60009523877155,133.08,133.08,Top 10%
71313574,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.25731901521502,0.60009523877155,133.08,133.08,Top 10%
451515,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.23924701521502,0.60009523877155,133.08,133.08,Top 10%
35370,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.23924701521502,0.60009523877155,133.08,133.08,Top 10%
51346748,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.23924701521502,0.60009523877155,133.08,133.08,Top 10%
56846050,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.25120501521502,0.60009523877155,133.08,133.08,Top 10%
16398721,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.23924701521502,0.60009523877155,133.08,133.08,Top 10%
11043760,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.24518701521502,0.60009523877155,133.08,133.08,Top 10%
119025583,,-0.569505569272216,0.228200137615204,-0.170652715828506,-1.26334301521502,0.60009523877155,133.08,133.08,Top 10%
139025114,-2.8304,-0.16685309428094,-1.86299992352724,-1.62008433926939,-0.794446251155735,3.88034099249188,186.07,195.88,Top 10%
94136,-2.8304,-0.16685309428094,-1.86299992352724,-1.62008433926939,-0.764656251155736,3.88034099249188,186.07,195.88,Top 10%
22803666,-2.8304,-0.16685309428094,-1.86299992352724,-1.62008433926939,-0.764656251155736,3.88034099249188,186.07,195.88,Top 10%
7264507,-2.8304,-0.16685309428094,-1.86299992352724,-1.62008433926939,-0.764656251155736,3.88034099249188,186.07,195.88,Top 10%
11119722,-0.742499999999999,0.161942475173861,-0.350599892437458,-0.310385805754532,-1.16215225080635,0.606657915709718,139.37,139.37,Top 10%
135538690,-2.2495,-0.963387094400122,-3.11759991943836,-2.11016233794616,-0.337417772247972,4.78773599295737,196.81,196.81,Top 10%
14071470,-1.6006,-0.261895534856676,-1.23469989001751,-1.03239847495806,-0.722775458379105,1.41510478347846,104.55,104.55,Top 10%
137019865,-0.166399999999997,1.05917385566589,-1.19239990413189,-0.0998753494886659,-1.83881317412153,0.450489229419291,136.32,136.32,Top 10%
131858702,-1.4838,-0.182063524661697,-1.56439987570047,-1.07675446678739,-1.44445240004955,4.61467993091038,175.3,207.39,Top 10%
374121,,-0.323248341121023,0.529000140726566,0.102875899802772,-2.18923587446312,1.28940288634531,153.31,153.31,Top 10%
3036983,-4.2512,-1.55934817549819,-2.49339994043112,-2.76798270530977,0.321539997484981,4.01075890383385,174.91,184.72,Top 10%
137176536,-2.3131,-0.29659152494532,-3.75609987974167,-2.121930468229,-0.177360255049076,3.9169541365899,148.17,148.17,Top 10%
135602211,-2.3131,-0.29659152494532,-3.75609987974167,-2.121930468229,-0.177360255049076,3.9169541365899,148.17,148.17,Top 10%
146674683,-1.8362,-1.34442274974845,-3.39902983605862,-2.19321752860236,-0.0315870351499634,3.06458141798926,150.83,150.83,Top 10%
146681747,-1.8362,-1.34442274974845,-3.39902983605862,-2.19321752860236,-0.0315870351499634,3.06458141798926,150.83,150.83,Top 10%
135398596,-3.1223,0.10114690571906,-2.93360003829002,-1.98491771085699,-0.432037543447859,2.12211788576127,191.47,201.28,Top 10%
136259535,-3.1223,0.10114690571906,-2.93360003829002,-1.98491771085699,-0.432037543447859,2.12211788576127,191.47,201.28,Top 10%
71407741,-3.6054,-2.45659152494532,-3.78569980710745,-3.28256377735092,0.798359261481541,3.9169541365899,165.24,165.24,Top 10%
451414,0.1585,0.662448694077184,0.277500107884407,0.366149600653864,-1.55778782285378,0.537948779535887,84.32,84.32,Top 10%
122621,,-0.828384047912866,-0.171399869024754,-0.49989195846881,-1.11869498082265,0.606657915709718,133.08,133.08,Top 10%
452188,,-0.828384047912866,-0.171399869024754,-0.49989195846881,-1.11869498082265,0.606657915709718,133.08,133.08,Top 10%
44593585,,-0.483598117393902,-0.55589984357357,-0.519748980483736,-0.903034207544286,1.35481412864805,131.01,131.01,Top 10%
11346304,-1.9187,-0.279442859866533,-1.11129995435476,-1.10314760474043,-0.621915562310139,2.24499973824897,156.42,156.42,Top 10%
483924,0.421200000000002,0.667561116879595,0.653000123798847,0.580587080226148,-1.95944743367695,1.20149542274269,95.32,120.62,Top 10%
92979558,-1.5955,-0.986758874553706,-1.46489986032248,-1.34905291162539,-0.451497279331976,1.30308371403265,113.78,113.78,Top 10%
134694010,-1.5955,-0.986758874553706,-1.46489986032248,-1.34905291162539,-0.451497279331976,1.30308371403265,113.78,113.78,Top 10%
124301946,-1.5955,-0.986758874553706,-1.46489986032248,-1.34905291162539,-0.451497279331976,1.30308371403265,113.78,113.78,Top 10%
92131910,-1.5955,-0.986758874553706,-1.46489986032248,-1.34905291162539,-0.451497279331976,1.30308371403265,113.78,113.78,Top 10%
191372,-1.5955,-0.986758874553706,-1.46489986032248,-1.34905291162539,-0.451497279331976,1.30308371403265,113.78,113.78,Top 10%
92979557,-1.5955,-0.986758874553706,-1.46489986032248,-1.34905291162539,-0.451497279331976,1.30308371403265,113.78,113.78,Top 10%
6481837,-1.6503,-0.705718205231806,-1.54809983819723,-1.30137268114301,-0.462887359286749,1.25069414495336,107.79,107.79,Top 10%
152475,-0.0841999999999998,-0.608238429321335,-1.47849989682436,-0.723646108715232,-1.03540960055163,1.39032446003945,166.88,166.88,Top 10%
42624707,-1.305,-0.265124099476021,-0.909099876880646,-0.826407992118889,-0.70209285346949,0.548364824156142,110.62,110.62,Top 10%
