cid,Iso_smiles,Type
494096,C1=C(C2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=CN(C2=N)O)C(=O)N,Adenosine
494217,C1=CC=[N+]2C(=C1)N(N=C2[O-])[C@H]3C([C@@H]([C@H](O3)CO)O)O,Adenosine
494284,C1=CSC2=[N+](C(=CC(=O)N21)[O-])[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
494929,C1=[N+](C2=C(N1CCO)C(=O)NC(=[NH+]2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
495169,CNC1=NN=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Adenosine
495537,C1CC2(CC2C1N3C=NC4=C(N=CN=C43)N)CO,Adenosine
496020,CNC(=O)C1=NN(C=N1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Adenosine
496474,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C3(F)F)CO)CO)N,Adenosine
498018,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H](C(=C3F)CO)O)O)N,Adenosine
502229,C1=C([C@@H](S[C@@H]1CO)N2C=NC3=C(N=CN=C32)N)F,Adenosine
502232,C1=C([C@@H](S[C@@H]1CO)N2C=NC3=C(N=C(N=C32)F)N)F,Adenosine
503006,C1[C@H](O[C@H]([C@H]1O)N2C=NC3=C(N=CN=C32)N)CN,Adenosine
503007,C1[C@H](O[C@H]([C@H]1N)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
503010,C1[C@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CN)O,Adenosine
503011,C1[C@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)N,Adenosine
503813,C1[C@H]([C@H]([C@@H](O1)C2=C(N=C3N2C=C(C(=C3)Cl)Cl)Cl)O)O,Adenosine
504733,CC(=O)CC1NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
504734,CC(CC1NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O,Adenosine
504735,C=CC1NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
504736,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(NC2=O)C(CO)O,Adenosine
504737,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(NC2=O)CCO,Adenosine
504738,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(NC2=O)C=O,Adenosine
504740,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(NC2=O)I,Adenosine
504745,C#CC1=NC2=C(C(=N1)Cl)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
504747,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(N=C2Cl)C#CCO,Adenosine
504749,C1CC1C2=NC3=C(C(=N2)Cl)N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,Adenosine
504751,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(N=C2Cl)C#CCF,Adenosine
506143,C1=C([C@H]([C@@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O)CO,Adenosine
506145,C1=C2C(=CC(=C1Br)Br)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
507269,C1=C(N(C(=O)C2=C1N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N)N,Adenosine
509519,C1[C@@H](O[C@H](C1(F)F)CO)N2C=NC3=C(N=CN=C32)N,Adenosine
509522,C1=C([C@@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)F,Adenosine
510982,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N)N=[N+]=[N-],Adenosine
511719,C1=C(C2=CC(=C(C=C2N=C1Cl)Cl)Cl)[C@H]3C(C([C@H](O3)CO)O)O,Adenosine
511720,C1=C(C2=CC(=C(C=C2N=C1Br)Cl)Cl)[C@H]3C(C([C@H](O3)CO)O)O,Adenosine
511761,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3CC([C@H](O3)CO)F,Adenosine
511763,C1[C@@H](O[C@@H](C1F)CO)N2C=CC3=C(N=CN=C32)N,Adenosine
