cid,isosmiles,Type,MLOGP,ALOGP,ESOL,Canonical_smis
287302,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)C(=O)NO)O)O)N,Adenosine,-0.667870292,-2.7701,-0.431543841,Nc1ncnc2c1ncn2C1OC(C(=O)NO)C(O)C1O
289971,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CF)O)O)N,Adenosine,0.540531422,-1.0801,-1.396134538,Nc1ncnc2c1ncn2C1OC(CF)C(O)C1O
295521,CC(C(=O)O)N=C1N=C(C=CN1C2C(C(C(O2)CO)O)O)N,Adenosine,-0.641916081,-1.5952,-0.430538502,CC(N=c1nc(N)ccn1C1OC(CO)C(O)C1O)C(=O)O
296233,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CCl)O)O)Cl)N,Adenosine,1.23391657,0.039,-2.325048238,Nc1nc(Cl)nc2c1ncn2C1OC(CCl)C(O)C1O
299952,CC(=O)NC1C(OC(C1O)N2C=NC3=C(N=C(N=C32)Cl)N)CO,Adenosine,0.355990903,-1.4328,-1.4393919,CC(=O)NC1C(CO)OC(n2cnc3c(N)nc(Cl)nc32)C1O
301046,CC1C(C(C(O1)OC)N2C=NC3=C(N=CN=C32)N)O,Adenosine,0.684875901,-0.7234,-1.55125716,COC1OC(C)C(O)C1n1cnc2c(N)ncnc21
324309,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)Cl)N,Adenosine,0.684875901,-0.8165,-1.551503757,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1Cl
326808,CC1C(C(C(O1)N2C=C(C3=C(N=CN=C32)N)C(=O)N)O)O,Adenosine,0.0030011,-1.3517,-1.178958477,CC1OC(n2cc(C(N)=O)c3c(N)ncnc32)C(O)C1O
330549,C1C(C(OC1N2C=NC3=C(NC(=O)N=C32)N)CO)O,Adenosine,-0.483598117,-1.6702,-0.507872056,Nc1[nH]c(=O)nc2c1ncn2C1CC(O)C(CO)O1
333596,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)C(=O)N,Adenosine,-1.276864202,-2.3819,-0.275359625,NC(=O)c1ncnc2c1ncn2C1OC(CO)C(O)C1O
333691,C(C1C(C(C(O1)N2C3=NC(=NC(=C3N=N2)N)F)O)O)O,Adenosine,-0.146517826,-1.362,-0.830921358,Nc1nc(F)nc2c1nnn2C1OC(CO)C(O)C1O
334830,C1=NC(=C2C(=N1)N(C(=N2)F)C3C(C(C(O3)CO)O)O)N,Adenosine,0.069523404,-1.4307,-0.999022966,Nc1ncnc2c1nc(F)n2C1OC(CO)C(O)C1O
335400,C1=C(N(C(=O)C2=C1N(C=N2)C3C(C(C(O3)CO)O)O)N)N,Adenosine,-1.32895675,-2.8164,-0.095827928,Nc1cc2c(ncn2C2OC(CO)C(O)C2O)c(=O)n1N
338571,CC1(OC2C(OC(C2O1)N3C=NC4=C(N=CN=C43)N)C=NO)C,Adenosine,0.899990903,-0.9418,-1.98402429,CC1(C)OC2C(C=NO)OC(n3cnc4c(N)ncnc43)C2O1
