ID,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),SM5_X,P_VSA_charge_7,CATS2D_04_AA,CATS2D_05_DL,H-052,CATS2D_09_AA,F05[N-N],SpDiam_AEA(ed),MATS3m,P_VSA_LogP_5,Eig04_AEA(bo),nN(CO)2,CATS2D_03_DL,s2_numRotBonds,P_VSA_LogP_4,Mv,IC1,MATS2m,MATS2p,GATS6i,P_VSA_charge_2,Eig03_AEA(ed),CATS2D_05_DA,GATS2p,C-016,s2_pathLength,GATS8i
Park_2003_5,1.0,0.25,0.8957208239114554,0.5191761241608365,0.1937951756546635,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.1703398150559643,0.5623018321907683,0.1952757017301919,0.8293404502593447,1.0,0.0,0.0,0.4446750622292963,0.656345203039554,0.8568605228718926,0.3653990118928808,0.6982742390082363,0.4768796477495018,0.3840996252846562,0.771224046264523,0.3333333333333333,0.2759954180671156,0.0,0.1515151515151527,0.8392843607254612
Park_2003_6,1.0,0.25,0.8948962433861638,0.5191761241608301,0.1937951756546635,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.0885320740258372,0.503737125480843,0.1952757017301919,0.832893824593917,1.0,0.0,0.0,0.4446750622292963,0.656345203039554,0.8568605228718926,0.3653990118928808,0.6982742390082363,0.8332137849909524,0.3840996252846562,0.6460584683925541,0.3333333333333333,0.2759954180671156,0.0,0.1515151515151527,0.8721926361408538
Park_2003_7,1.0,0.25,0.8141027384016652,0.5191761241608429,0.2489487330597401,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.2676617984367029,0.5978256509578569,0.1952757017301919,0.8343106960223157,1.0,0.0,0.0,0.4446750622292963,0.5439590894712341,0.7698424623561566,0.3550253813038298,0.5965135300834166,0.9635788539561304,0.3840996252846562,0.6460589316378629,0.3333333333333333,0.3801053702082244,0.0,0.1515151515151527,0.9337422874484358
Park_2007_2a,1.0,0.25,0.9191558469772776,0.438311737001153,0.0693208091247934,0.7142857142857143,0.3333333333333333,0.0,0.5714285714285714,0.8,0.3504332208819405,0.5137478474095578,0.1511264126433665,0.8055546130985527,1.0,0.0,0.1428571428571428,0.4446750622292963,0.8104176052959486,0.8601892544623633,0.1049330470410142,0.5522715485844666,0.5573513405432338,0.3840996252846562,0.7375885666726152,0.8333333333333334,0.356998213749947,0.0,0.0909090909090908,0.9311263339850824
Park_2007_2b,1.0,0.25,0.9925801352236564,0.4383117370011051,0.2613647288522746,0.7142857142857143,0.3333333333333333,0.0,0.5714285714285714,0.8,0.1890998387633082,0.4133831797941693,0.1952757017301919,0.8717522306856789,1.0,0.0,0.1428571428571428,0.4446750622292963,0.7363468688835031,0.8685657538944014,0.3111839173541634,0.7589953418195664,0.8548946870657601,0.3840996252846562,0.7375963725907315,0.8333333333333334,0.2463289670254234,0.0,0.0909090909090908,0.9903583129305876
Park_2007_2c,1.0,0.25,0.917157666601069,0.4383117370011434,0.1937951756546635,0.7142857142857143,0.3333333333333333,0.0,0.5714285714285714,0.8,0.2068085905023107,0.581344859085949,0.1952757017301919,0.8829118874520172,1.0,0.0,0.1428571428571428,0.4446750622292963,0.6705062142946598,0.8571976620787662,0.3202463336659636,0.6979970941713367,0.7097473988592178,0.3840996252846562,0.7375989878026861,0.8333333333333334,0.3072037142616137,0.0,0.0909090909090908,0.8673771055634207
Park_2007_2d,1.0,0.25,0.8375865006037593,0.4383117370011274,0.2489487330597401,0.7142857142857143,0.3333333333333333,0.0,0.5714285714285714,0.8,0.3859383122548241,0.6744364632524754,0.1952757017301919,0.8848187094016065,1.0,0.0,0.1428571428571428,0.4446750622292963,0.5585771014936318,0.8087813234153454,0.3230196264536735,0.5967855068548753,0.8534183350104243,0.3840996252846562,0.7375992275805716,0.8333333333333334,0.4091283880219309,0.0,0.0909090909090908,0.928944585300008
Skilling_2018_5a,0.0,0.5,0.0785934346810055,1.6903145549918008e-14,0.316518286257351,0.5714285714285714,0.3333333333333333,1.0,0.0,0.0,0.9790422431487014,0.9916508224945098,0.825029930653126,0.3488282056580618,0.0,0.0,0.1904761904761902,0.1841300033450082,0.3627965224189662,0.5936618558816487,0.5066753057818584,0.298663734590574,0.1280517275528008,0.1754099363913025,0.454275631442262,0.0,0.6813902503715279,1.0,0.2727272727272727,0.5847089570043191
Skilling_2018_5b,0.0,0.5,0.1333015475896353,2.4535928844215963e-14,0.2613647288522746,0.5714285714285714,0.3333333333333333,1.0,0.0,0.0,0.9546686714741176,0.938047742016799,0.825029930653126,0.3485402381579949,0.0,0.0,0.1904761904761902,0.1841300033450082,0.4734667182554979,0.7171397926541578,0.5309256902296545,0.3871670770324464,0.3876789919599028,0.1754099363913025,0.4542755140250385,0.0,0.5845916664603021,1.0,0.2727272727272727,0.5254356320689635
Skilling_2018_5c,0.0,0.25,0.3788440928169372,2.6478819137309983e-14,0.2062111714471989,0.5714285714285714,0.6666666666666666,0.5,0.0,0.0,0.7303256108072067,0.7172316662413519,0.825029930653126,0.368642062826563,0.0,0.0,0.1904761904761902,0.1841300033450082,0.4734667182554979,0.7171397926541578,0.6373752687794908,0.6008818439676105,0.0066515700099807,0.1754099363913025,0.4543235815998363,0.0,0.4521802114918722,1.0,0.2727272727272727,0.4865309732893226
