cid,Probability of nongelator,Probability of gelator,rank,%
3007218,0.528280588257226,0.471719411742774,1512,0.208
354624,0.5282402306586017,0.4717597693413983,1513,0.208
9882903,0.5282402306586017,0.4717597693413983,1514,0.209
512657,0.5282065678327308,0.4717934321672691,1515,0.209
29921449,0.5281736729076943,0.4718263270923056,1516,0.209
131853148,0.5281163990709292,0.4718836009290708,1517,0.209
97199,0.5280844236654153,0.4719155763345847,1518,0.209
512131,0.5280844236654153,0.4719155763345847,1519,0.209
481530,0.5280697030841237,0.4719302969158762,1520,0.209
90673796,0.5280401894723711,0.4719598105276289,1521,0.21
481527,0.5280120464874969,0.4719879535125031,1522,0.21
10563947,0.5279890085903183,0.4720109914096817,1523,0.21
585376,0.5279507352183865,0.4720492647816134,1524,0.21
191008,0.5279447297433255,0.4720552702566745,1525,0.21
21125843,0.527934481037328,0.472065518962672,1526,0.21
137128750,0.5279220119722188,0.4720779880277813,1527,0.21
121221202,0.5279185716528327,0.4720814283471673,1528,0.211
452036,0.5278966209861418,0.4721033790138582,1529,0.211
72264,0.5278966209861418,0.4721033790138582,1530,0.211
11138740,0.5278335299587162,0.4721664700412837,1531,0.211
9921121,0.5278053682510067,0.4721946317489933,1532,0.211
512603,0.5277903752938812,0.4722096247061188,1533,0.211
3010384,0.5277893010676721,0.4722106989323279,1534,0.211
92246004,0.5277893010676721,0.4722106989323279,1535,0.212
3007217,0.5277828928698893,0.4722171071301107,1536,0.212
121486739,0.527774704820227,0.4722252951797729,1537,0.212
502237,0.5276757883426393,0.4723242116573607,1538,0.212
51360252,0.5276688960340177,0.4723311039659824,1539,0.212
513636,0.5276687455620943,0.4723312544379057,1540,0.212
299952,0.527629678861852,0.472370321138148,1541,0.212
454870,0.5275854270307656,0.4724145729692344,1542,0.212
139086336,0.5275685380821098,0.4724314619178902,1543,0.213
14603759,0.527554374211008,0.4724456257889919,1544,0.213
12009657,0.527552654338546,0.4724473456614539,1545,0.213
20847520,0.5274574748113812,0.4725425251886188,1546,0.213
130763680,0.5274000909464158,0.4725999090535842,1547,0.213
134004,0.5273893052456025,0.4726106947543975,1548,0.213
21121840,0.5273893052456025,0.4726106947543975,1549,0.213
44560559,0.5273859166742386,0.4726140833257614,1550,0.214
3010828,0.5273459950173354,0.4726540049826646,1551,0.214
71354368,0.5273459324212706,0.4726540675787293,1552,0.214
71342993,0.5273459324212706,0.4726540675787293,1553,0.214
496870,0.5273345410493024,0.4726654589506975,1554,0.214
5470398,0.5273345410493024,0.4726654589506976,1555,0.214
395836,0.5273345410493024,0.4726654589506976,1556,0.214
5925915,0.5273345410493024,0.4726654589506976,1557,0.215
14286993,0.527315352720713,0.472684647279287,1558,0.215
452988,0.527312224358801,0.472687775641199,1559,0.215
92244157,0.5273047217053328,0.4726952782946671,1560,0.215
97235,0.5273047217053328,0.4726952782946671,1561,0.215
92249340,0.5272589762215223,0.4727410237784777,1562,0.215
