,C-016,H-052,F10[O-O],VE3sign_D/Dt,SpDiam_AEA(ed),P_VSA_charge_4,CATS2D_05_DL,SM10_AEA(dm),CATS2D_09_DA,CATS2D_06_DL,GATS7s,CATS2D_03_DL,VE1sign_B(p),B09[O-O],MATS3p,SpMAD_EA(ri),VE1sign_Dz(v),F05[N-N],P_VSA_charge_7,F07[N-O],GATS6i,CATS2D_05_DA,CATS2D_04_AA,nN(CO)2,Group
451579,0.0,0.0,0.0,0.8054470016187596,0.2061588138274557,0.0,0.0,0.16180005564512712,0.0,0.0,0.23089502676453064,0.0,0.2516327709355575,0.0,0.3756777201040616,0.4830502954217364,0.12823634161045877,0.125,0.19821261654818403,0.18181818181818182,0.3471879150566057,0.16666666666666666,0.41666666666666663,0.0,Pubchem
451849,0.0,0.2857142857142857,0.0,0.8763750042704448,0.1329527117415341,0.0,0.25,0.14172844331723222,0.09090909090909091,0.125,0.32242391570948614,0.16666666666666666,0.5591796701586864,0.0,0.5925403022076337,0.4962755624226096,0.26314498584549917,0.0,0.0367690382700509,0.18181818181818182,0.5678712198511724,0.0,0.25,0.0,Pubchem
451878,0.0,0.0,0.0,0.8220791487942988,0.23140646154230393,0.29184626681836395,0.25,0.23471190823668142,0.09090909090909091,0.125,0.2523536643105547,0.3333333333333333,0.3809767466145297,1.0,0.38617197695030997,0.662292089698929,0.06723851185801213,0.125,0.06401463990916045,0.18181818181818182,0.4383417485788251,0.41666666666666663,0.41666666666666663,0.3333333333333333,Pubchem
451879,0.0,0.0,0.0,0.8220791487943001,0.2314064615422986,0.0,0.375,0.23471190823668142,0.09090909090909091,0.25,0.24471935917789653,0.5,0.38598132830753706,1.0,0.41566675168617184,0.6772153284317239,0.06233075610365187,0.0,0.06401463990916045,0.09090909090909091,0.30357816530998366,0.3333333333333333,0.25,0.3333333333333333,Pubchem
451882,0.0,0.0,0.25,0.802464981698731,0.14765151422242973,0.0,0.0,0.1673603873596352,0.09090909090909091,0.25,0.2873688950395674,0.16666666666666666,0.4588600762937256,1.0,0.3869821538690348,0.597284438344631,0.033618198572149094,0.0,0.06401463990916045,0.09090909090909091,0.4239926810943562,0.08333333333333333,0.25,0.3333333333333333,Pubchem
451890,0.25,0.0,0.0,0.8175684695034019,0.2902302174413385,0.0,0.125,0.23345089197791125,0.09090909090909091,0.0,0.2589174704616358,0.0,0.6032419661139465,1.0,0.5587272826478994,0.5423468374708094,0.04022520893537002,0.125,0.11109104026409196,0.18181818181818182,0.38504653506332737,0.5,0.5833333333333333,0.3333333333333333,Pubchem
451895,0.25,0.0,0.0,0.9146609496666303,0.2739423136868424,0.1577236234876368,0.0,0.2806347080813364,0.09090909090909091,0.0,0.27666955775179325,0.0,0.47026242744273467,0.0,0.6036193045835494,0.4902355220029495,0.08041077960231013,0.0,0.06873705714906615,0.18181818181818182,0.38308669121558964,0.08333333333333333,0.25,0.0,Pubchem
451896,0.25,0.0,0.25,0.9146609496666301,0.2739423136868453,0.1577236234876368,0.0,0.2806347080813364,0.09090909090909091,0.0,0.30612212986260556,0.16666666666666666,0.445333708163443,0.0,0.5592419320774344,0.5055533549390931,0.03476490717051018,0.0,0.06873705714906615,0.18181818181818182,0.5612089478896893,0.25,0.25,0.0,Pubchem
452052,0.25,0.0,0.0,0.8319526878109973,0.2295306073053751,0.29184626681836395,0.25,0.23248565867867388,0.09090909090909091,0.0,0.23744331880067257,0.16666666666666666,0.5693330300150607,1.0,0.5534357095735385,0.5570330861177499,0.0005703551978301705,0.125,0.0,0.18181818181818182,0.5254904375694089,0.41666666666666663,0.41666666666666663,0.3333333333333333,Pubchem
452053,0.25,0.0,0.0,0.8319526878109973,0.2295306073053751,0.4495698903060008,0.125,0.23248565867867388,0.18181818181818182,0.0,0.20810415498336052,0.16666666666666666,0.5214204203976849,0.0,0.5297830747946024,0.489889110671208,0.0163791902494784,0.125,0.06873705714906615,0.2727272727272727,0.5864210170249831,0.41666666666666663,0.3333333333333333,0.0,Pubchem
